ID,Question,Type,Answer,Time_lmit,Points,Year,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Keywords
11.0,Synovial joint의 six type이다. 다음 joint를 관찰할 수 있는 부위 1개씩,서술형,"1)Hinge joint (경첩관절) - elbow joint (팔꿉관절) (Humerus / Ulna의 연결부위)
2)Plane joint (평면관절) - acromioclavicular joint (봉우리 빗장관절) (Clavicle / Scapula 사이)
3)Saddle joint (안장관절) - carpometacarpal joint of thumb(엄지손가락의 손목손허리뼈관절)
4) Condyloid joint (타원관절) - metacarpophalangeal joint (손허리손가락뼈관절)
5) Ball and socket joint (절구관절) - hip joint (엉덩관절, 고관절)
6) Pivot joint (중쇠관절) – median atlantoaxial joint (정중고리중쇠관절)",240.0,3.0,23.0,,,,,,,,,경첩관절;팔꿉관절;humerus / ulna의 연결부위;평면관절;봉우리 빗장관절;clavicle / scapula 사이;안장관절;엄지손가락의 손목손허리뼈관절;타원관절;손허리손가락뼈관절
12.0,Aponeurosis,서술형,"aponeurosis는 납작한 tendon plate로 널힘줄이라고 하며, muscle을 skeleton, deep fascia, 또는 다른 muscle의 Aponeurosis에 부착시킨다.",240.0,3.0,23.0,,,,,,,,,aponeurosis;tendon plate;muscle;skeleton;deep fascia;aponeurosis는 납작한 tendon plate로 널힘줄이라고 하며;muscle을 skeleton;또는 다른 muscle의 aponeurosis에 부착시킨다.
13.0,힘줄(tendon)과 인대(ligament )의 차이,서술형,tendon : 힘줄은 muscle과 bone을 연결한다. ligament : 인대는 bone과 bone을 연결한다. (운동시 힘이 전달되는 순서는 bone - tendon - muscle 순서로 전달된다.),240.0,3.0,23.0,,,,,,,,,운동시 힘이 전달되는 순서는 bone - tendon - muscle 순서로 전달된다.;tendon;muscle;bone;ligament;tendon : 힘줄은 muscle과 bone을 연결한다. ligament : 인대는 bone과 bone을 연결한다.
14.0,동반정맥,서술형,"동반정맥은 arteries를 따라 함께 가므로 동반정맥이라 불리며, 비교적 모양이 납작하다. 동반정맥은
동맥에 불규칙하게 가지를 쳐서 그물망으로 둘러싼다. 이러한 배열은 대향류 열교환기 counter current
heat exchanger로 작용하여 팔다리에서 심장으로 혈액이 들어갈 때 따뜻한 동맥혈액이 차가운 정맥
혈액을 보온하는 효과가 있다.
한편 정맥은 동맥에 비해 혈압이 매우 낮으므로 심장에서 멀리 떨어진 정맥일수록 외부의 자극이나 압
력에 의해 blood가 흘러야 하는데, 동반정맥은 동반하는 동맥과 같이 비교적 단단한 근막인 혈관집
vascular sheath로 싸여 있어서 심장 수축기에 동맥이 확장되면 정맥을 눌러 심장을 향해 정맥혈이
들어가게 하는 동맥정맥펌프 arteriovenous pump로 작용한다.",240.0,3.0,23.0,,,,,,,,,"arteries;counter current
heat exchanger;blood;vascular sheath;arteriovenous pump;동반정맥은 arteries를 따라 함께 가므로 동반정맥이라 불리며;비교적 모양이 납작하다. 동반정맥은
동맥에 불규칙하게 가지를 쳐서 그물망으로 둘러싼다. 이러한 배열은 대향류 열교환기 counter current
heat exchanger로 작용하여 팔다리에서 심장으로 혈액이 들어갈 때 따뜻한 동맥혈액이 차가운 정맥
혈액을 보온하는 효과가 있다.
한편 정맥은 동맥에 비해 혈압이 매우 낮으므로 심장에서 멀리 떨어진 정맥일수록 외부의 자극이나 압
력에 의해 blood가 흘러야 하는데;동반정맥은 동반하는 동맥과 같이 비교적 단단한 근막인 혈관집
vascular sheath로 싸여 있어서 심장 수축기에 동맥이 확장되면 정맥을 눌러 심장을 향해 정맥혈이
들어가게 하는 동맥정맥펌프 arteriovenous pump로 작용한다."
15.0,Musculovenous pump(근육정맥펌프)란?,서술형,"팔다리의 skeletal muscle이 수축할 때 vein을 자극하여 vein 안의 혈액이 심장으로 다시 돌아갈 수
있게 해주는데, 이때 역류를 방지하는 것을 valve라고 한다. 이렇게 자체 혈압이 낮은 vein의 혈액을
다시 심장으로 돌아가게 하는 것을 musculovenous pump라 한다.",240.0,3.0,23.0,,,,,,,,,"skeletal muscle;vein;valve;musculovenous pump;팔다리의 skeletal muscle이 수축할 때 vein을 자극하여 vein 안의 혈액이 심장으로 다시 돌아갈 수
있게 해주는데;이때 역류를 방지하는 것을 valve라고 한다. 이렇게 자체 혈압이 낮은 vein의 혈액을
다시 심장으로 돌아가게 하는 것을 musculovenous pump라 한다."
16.0,정맥각,서술형,"몸의 림프가 유입되는 곳으로 (속목정맥)과 (빗장밑정맥)이 만나는 곳이 이루는 부분(각?)을
정맥각 venous angle이라고 한다. 왼쪽정맥각 left venous angle: 왼속목정맥 left internal jugular vein과 왼빗장밑정맥 left subclavian vein이 만나는 부분으로, 몸의 75%에서 유입된 림프가 들어가는 곳.
Right thoracic duct 는 몸의 오른쪽 위 1/4 (머리와 목의 오른쪽 부위, 오른팔, 가슴의 오른쪽부위)에
서 들어온 림프가 유입되는데, 이들은 right internal jugular vein(오른속목정맥)과 right subclavian
vein (오른빗장밑정맥)이 만나는 오른정맥각 right venous angle로 들어간다.",240.0,3.0,23.0,,,,,,,,,"속목정맥;빗장밑정맥;각?;머리와 목의 오른쪽 부위, 오른팔, 가슴의 오른쪽부위;오른속목정맥;오른빗장밑정맥;venous angle;left venous angle;left internal jugular vein;left subclavian vein"
17.0,가슴림프관 팽대 (cisterna chyli),서술형,"Cisterna chyli는 thoracic duct 가 시작하는 부위로 가장 아랫부분에 해당된다. 하반신에서 유입된 림
프관줄기는 배에서 합쳐져 cisterna chyli를 형성한다. 여기서 thoracic duct 를 타고 올라가 left
internal jugular vein(왼속목정맥), left subclavian vein (왼빗장밑정맥)이 만나는 부분인 left
venous angle (왼쪽정맥각)로 들어간다.",240.0,3.0,23.0,,,,,,,,,"왼속목정맥;왼빗장밑정맥;왼쪽정맥각;cisterna chyli;thoracic duct;left
internal jugular vein;left subclavian vein;left
venous angle;cisterna chyli는 thoracic duct 가 시작하는 부위로 가장 아랫부분에 해당된다. 하반신에서 유입된 림
프관줄기는 배에서 합쳐져 cisterna chyli를 형성한다. 여기서 thoracic duct 를 타고 올라가 left
internal jugular vein;이 만나는 부분인 left
venous angle"
18.0,가슴림프관,서술형,"thoracic duct 는 몸의 오른쪽 윗부분 1/4 (머리, 목의 오른쪽 부위, 오른쪽 팔, 가슴의 오른쪽 반)을
제외한 나머지 부분에서 들어온 림프가 유입되는 곳이다.",240.0,3.0,23.0,,,,,,,,,"머리, 목의 오른쪽 부위, 오른쪽 팔, 가슴의 오른쪽 반;thoracic duct;thoracic duct 는 몸의 오른쪽 윗부분 1/4;목의 오른쪽 부위;오른쪽 팔;가슴의 오른쪽 반;을
제외한 나머지 부분에서 들어온 림프가 유입되는 곳이다."
19.0,중추신경계통에서 신경세포체가 모여있는 곳을 (                )이라 하며 인접하거나 멀리 떨어져 있는 신경핵을 서로 연결하는 신경섬유다발을 (                     )라고 한다,단답형,"신경핵_nucleus, 신경로_tract ",30.0,1.0,23.0,,,,,,,,,"신경핵_nucleus, 신경로_tract;신경핵_nucleus;신경로_tract"
20.0,"중추신경계통 밖에 있는 신경세포체의 집합을 (                    )이라 하며, 신경섬유들이 다발을 이루고 있는 것을 (                  )이라 한다.",단답형,"ganglion, neuron",30.0,1.0,23.0,,,,,,,,,"ganglion, neuron;ganglion;neuron"
21.0,교감 신경계의 연접이전세포체가 위치하는 곳은 척수의 (                                           )이다,단답형,"intermediolateral cell column, IML",30.0,1.0,23.0,,,,,,,,,"intermediolateral cell column, iml;intermediolateral cell column;iml"
22.0,"목에서 척추옆교감신경의 종류는 (                 ), (                    ), (                      )가 있다.",단답형,"위 superior, 중간 middle, 아래 inferior",30.0,1.0,23.0,,,,,,,,,"위 superior, 중간 middle, 아래 inferior;위 superior;중간 middle;아래 inferior"
23.0,피부에서의 교감신경계의 기능,서술형,"털세움(소름, 닭살), 혈관수축(피부, 입을 희게, 손가락 끝을 푸르게 한다), 땀분비 증가",240.0,3.0,23.0,,,,,,,,,"소름, 닭살;피부, 입을 희게, 손가락 끝을 푸르게 한다;혈관수축;입을 희게;손가락 끝을 푸르게 한다;땀분비 증가"
24.0,Typical spinal nerve를 설명,서술형,"척수신경은 척수의 앞뒤에서 각각 잔뿌리가 나와 2개의 신경뿌리를 형성한 뒤 합쳐진다.
Spinal nerve의 anterior root는 motor (efferent) nerve fiber 로 구성되어 있으며 Anterior
horns of gray matter에 있는 nerve cell body에서 나와 말초에 위치한 작용기관으로 간다.
Posterior root 는 sensory (afferent) nerve fiber 로 구성되며 spinal ganglion(dorsal root
ganglion 약자 DRG) 에 있는 cell body 에서 나와 말초부위는 감각종말과 연결되고, 중추부위는
posterior horns of gray matter 로 간다. 앞,뒤 두개의 뿌리는 intervertebral foramen(척추사이
구멍) 부근에서 mixed spinal nerve(혼합척수신경) 을 형성하고 곧바로 posterior(dorsal) ramus(뒤
가지) 와 anterior(ventral) ramus 로 나뉜다.
Mixed spinal nerve 의 가지인 posterior ramus와 anterior ramus 는 각각 sensory fiber 와
motor fiber를 함께 포함하고 계속해서 그 가지들을 낸다.",240.0,3.0,23.0,,,,,,,,,"efferent;afferent;혼합척수신경;dorsal;ventral;spinal nerve;anterior root;motor;nerve fiber;anterior
horns of gray matter"
25.0,회색교통가지와 백색교통가지의 차이,서술형,"Gray rami communicantes : contains unmyelinated postsynaptic(postganglionic) sympathetic ﬁbers
회색교통가지는 신경절이후의 민말이집 교감신경섬유를 포함한다.
White rami communicantes sympathetic ﬁbers : contains myelinated presynaptic(preganglionic)
백색교통가지는 신경절이전의 말이집 교감신경섬유를 포함한다.",240.0,3.0,23.0,,,,,,,,,"postganglionic;preganglionic;gray rami communicantes;contains unmyelinated postsynaptic;sympathetic;bers;white rami communicantes sympathetic;contains myelinated presynaptic;gray rami communicantes : contains unmyelinated postsynaptic;sympathetic ﬁbers
회색교통가지는 신경절이후의 민말이집 교감신경섬유를 포함한다.
white rami communicantes sympathetic ﬁbers : contains myelinated presynaptic"
26.0,교감신경계통에서 척추옆교감신경절과 척추앞교감신경절의 차이,서술형,"paravertebral ganglion : 척추 양쪽에서 척추의 길이를 따라 연결되어 교감신경줄기 sympathetic trunk를 이루고 있다.
prevertebral ganglion : abdominopelvic aorta(복부대동맥;배대동맥)에서 큰 가지가 나오는 부분을 둘러싸는 nerve plexus(신경얼기)에 위치하고, 
abdominopelvic splanchnic(배골반내장신경)의 4개 신경절이 전부이다.
복강신경절 celiac ganglia , 위창자간막신경절 superior mesenteric ganglia, 대동맥콩팥신경절
aorticorenal ganglia, 아래창자간막신경절 inferior mesenteric ganglion
두가지 ganglia / ganglion의 공통점 : 교감신경계에서의 절후 신경세포들의 신경세포체들이 모인곳",240.0,3.0,23.0,,,,,,,,,복부대동맥;배대동맥;신경얼기;배골반내장신경;paravertebral ganglion;sympathetic trunk;prevertebral ganglion;abdominopelvic aorta;nerve plexus;abdominopelvic splanchnic;celiac ganglia
27.0,"자율신경계통의 교감신경부분을 구성하는 연접이전신경세포체는 척수의 (                                  )에 존재하고, 부교감신경부분을 구성하는 연접이전신경세포체는 (                                    )에 존재한다",단답형,"중간가쪽신경세포기둥(IML), 뇌줄기와 엉치분절의 회색질",30.0,1.0,23.0,,,,,,,,,"중간가쪽신경세포기둥(iml), 뇌줄기와 엉치분절의 회색질;중간가쪽신경세포기둥(iml);뇌줄기와 엉치분절의 회색질;iml"
28.0,교감신경줄기 속에서 연접이전신경섬유는 네 경로 중 하나를 따른다. 각 경로의 특징,서술형,"1) ascend – sympathetic trunk 속에서 올라가 위쪽의 paravertebral ganglion에 있는
postsynaptic neuron과 connect
2) descend – sympathetic trunks 속에서 내려가 아래쪽의 paravertebral ganglion에 있는
postsynaptic neuron과 connect
3) enter – sympathetic trunk에 들어가는 즉시 그 위치에서 paravertebral ganglion에 있는
postsynaptic neuron과 connect
4) pass through – sympathetic trunk 안에서 connect 하지 않고 pass through 하여
abdominopelvic splanchnic nerve(배골반내장신경)이 되어 sympathetic trunk 밖으로 나가서
prevertebral ganglion에 도달한다.",240.0,3.0,23.0,,,,,,,,,배골반내장신경;ascend;sympathetic trunk;paravertebral ganglion;postsynaptic neuron;connect;descend;sympathetic trunks;enter;pass through
29.0,몸신경섬유와 내장신경섬유에 대해 설명,서술형,"1) 몸신경섬유는 GSA , GSE로 나뉜다.
- GSE는 뼈대(수의) 근육에 신경자극을 전달한다.
- GSA 는 몸의 감각을 CNS(중추신경계)로 전한다.
(afferent - 들어오는 것, sensory / efferent - 나가는 것, motor)
일반감각섬유(general somatic afferent fiver, GSA)는 몸에서 감각을 중추신경계로 전달하
는데, 피부의 외부수용감각 exteroceptive sensation 또는 근육, 힘줄 및 관절에서 오는 통증과 고유감
각 proprioceptive sensation이 있다. 고유감각은 주로 무의식적으로 전달되며, 고유감각은 관절 위치,
힘줄과 근육의 긴장도와 관련되어 정보를 제공하고, 이러한 고유감각을 속귀의 안뜰기관의 정보와 혼합
되어 시각정보와 무관하게 몸과 팔다리의 공간적 위치를 알게 해준다
- 몸운동섬유(general somatic efferent fiver, GSE)는 뼈대(수의)근육에 자극을 전달한다.
2) 내장신경섬유는 GVA , GVE로 나뉜다.
- GVA 는 통증이나 무의식적인 visceral sensation을 hollow organ이나 blood vessel로부터 CNS
로 보낸다.
- GVE는 불수의적 smooth muscle이나 glandular tissues에 자극을 전달한다. 두 종류의 신경섬유
인 presynaptic nerve fiber와 postsynaptic nerve fiber가 함께 작용해 신경자극을 중추신경계로
부터 민무늬근이나 샘에 전달한다.",240.0,3.0,23.0,,,,,,,,,"수의;중추신경계;afferent - 들어오는 것, sensory / efferent - 나가는 것, motor;general somatic afferent fiver, gsa;general somatic efferent fiver, gse;gsa;gse;cns;afferent;sensory"
30.0,"epidermis, dermis 차이",서술형,"epidermis(표피)는 각질화한 상피로, 얕게 위치한 세포층이며 혈관, 림프관이 없다. 얕은 층은
거칠고 단단하며 깊은 층을 보호하고, 깊은 층은 재생능력이 있고 색소를 함유한다.
dermis(진피)는 깊게 위치한 결합조직층이다. 아교섬유와 탄력섬유로 짜여진 치밀층이며 털주
머니, 털세움근, 기름샘이 있다.",240.0,3.0,21.0,,,,,,,,,"표피;진피;epidermis;dermis;는 각질화한 상피로;얕게 위치한 세포층이며 혈관;림프관이 없다. 얕은 층은
거칠고 단단하며 깊은 층을 보호하고;깊은 층은 재생능력이 있고 색소를 함유한다.
dermis;는 깊게 위치한 결합조직층이다. 아교섬유와 탄력섬유로 짜여진 치밀층이며 털주
머니;털세움근"
31.0,fontanelles (숫구멍),서술형,"신생아 머리덮개뼈는 뼈들이 서로 완전하게 붙어있지 않다. 봉합은 숫구멍(천문)이라는 섬유조
직의 넓은 부분으로 구성된다. 앞숫구멍(대천문, anterior fontanelle)은 가장 뚜렷하다. 신생
아가  산도를  통해  나올  때,  숫구멍은  머리덮개뼈가  눌려  머리뼈들이  겹치기  때문에  생긴다.
정상적으로 앞숫구멍은 납작하지만 숫구멍이 불룩한 것은 뇌압이 상승한 것을 나타내며, 아기
가 울 때도 정상적으로 불룩해진다. 숫구멍의 박동은 맥박을 반영한다. 숫구멍이 오목한 것은
아기가 탈수되었을 때 관찰된다.",240.0,3.0,21.0,,,,,,,,,"천문;대천문, anterior fontanelle;anterior fontanelle;신생아 머리덮개뼈는 뼈들이 서로 완전하게 붙어있지 않다. 봉합은 숫구멍;이라는 섬유조
직의 넓은 부분으로 구성된다. 앞숫구멍;은 가장 뚜렷하다. 신생
아가  산도를  통해  나올  때;숫구멍은  머리덮개뼈가  눌려  머리뼈들이  겹치기  때문에  생긴다.
정상적으로 앞숫구멍은 납작하지만 숫구멍이 불룩한 것은 뇌압이 상승한 것을 나타내며;아기
가 울 때도 정상적으로 불룩해진다. 숫구멍의 박동은 맥박을 반영한다. 숫구멍이 오목한 것은
아기가 탈수되었을 때 관찰된다."
32.0,arteriovenous pump(동정맥펌프)-vascular sheath(혈관집)의 관계,서술형,"정맥은  동반하는 동맥과  함께  비교적 단단한  근막인  혈관집으로 싸여  있어서  심장 수축기에
동맥이 확장되면 정맥을 눌러 정맥혈액이 심장으로 들어가는 것을 도와주는 동정맥펌프로 작
용한다.",240.0,3.0,21.0,,,,,,,,,"정맥은  동반하는 동맥과  함께  비교적 단단한  근막인  혈관집으로 싸여  있어서  심장 수축기에
동맥이 확장되면 정맥을 눌러 정맥혈액이 심장으로 들어가는 것을 도와주는 동정맥펌프로 작
용한다."
33.0,"심장허파내장신경, 배골반내장신경",서술형,"심장, 허파나 위와 같은 몸통공간의 내장에 분포하는 연접이후교감신경섬유는 심장허파내장신
경을 통해 심장, 허파 및 식도의 신경얼기로 들어간다.
배안과 골반 안의 장기(예: 위와 장)에 분포하는 연접이전교감신경섬유는 배골반내장신경을 거
쳐 척주앞신경절로 들어간다.",240.0,3.0,21.0,,,,,,,,,"예: 위와 장;허파나 위와 같은 몸통공간의 내장에 분포하는 연접이후교감신경섬유는 심장허파내장신
경을 통해 심장;허파 및 식도의 신경얼기로 들어간다.
배안과 골반 안의 장기;에 분포하는 연접이전교감신경섬유는 배골반내장신경을 거
쳐 척주앞신경절로 들어간다."
34.0,표적장기 (intrinsic or enteric ganglia),서술형,"부교감신경은 연접이전섬유와 연접이후세포체의 연접이 표적장기의 벽 또는 그 안 한가운데서
형성되고, 대부분의 연접이전섬유는 매우 길게 뻗어서 표적장기에 이르는 반면, 연접이후섬유
는 표적장기 안에 묻혀있거나 표적장기 근처에 있는 신경절에서 나오기 때문에 매우 짧다.",240.0,3.0,21.0,,,,,,,,,"부교감신경은 연접이전섬유와 연접이후세포체의 연접이 표적장기의 벽 또는 그 안 한가운데서
형성되고;대부분의 연접이전섬유는 매우 길게 뻗어서 표적장기에 이르는 반면;연접이후섬유
는 표적장기 안에 묻혀있거나 표적장기 근처에 있는 신경절에서 나오기 때문에 매우 짧다."
35.0,자율신경계통의 기능-피부에서 교감신경 작용,서술형,"털세움(소름, 닭살), 혈관수축(피부, 입을 희게, 손가락 끝을 푸르게 한다), 땀분비 증가.",240.0,3.0,21.0,,,,,,,,,"소름, 닭살;피부, 입을 희게, 손가락 끝을 푸르게 한다;혈관수축;입을 희게;손가락 끝을 푸르게 한다;땀분비 증가."
36.0,척주옆신경절 목 위에 3개 신경절 이름,단답형,"위superior, 중간middle, 아래inferior",30.0,1.0,21.0,,,,,,,,,"위superior, 중간middle, 아래inferior;위superior;중간middle;아래inferior"
37.0,문맥계통(portal venous system) 설명하고 예시,서술형,"어떤 부위에서는 혈액이 심장으로 가기 전에 두 개의 모세혈관 그물을 거치는데, 2개의 모
세혈관그물을 연결시키는 정맥계통을 문맥계통이라 한다. 소화관의 모세혈관그물에서 간의 모
세혈관그물  또는  굴모세혈관으로  영양분이  풍부한  혈액을  전달하는  정맥계통인  간문맥계통
(hepatic portal system)이 그 대표적인 예이다.",240.0,3.0,21.0,,,,,,,,,"hepatic portal system;2개의 모
세혈관그물을 연결시키는 정맥계통을 문맥계통이라 한다;어떤 부위에서는 혈액이 심장으로 가기 전에 두 개의 모세혈관 그물을 거치는데;2개의 모
세혈관그물을 연결시키는 정맥계통을 문맥계통이라 한다. 소화관의 모세혈관그물에서 간의 모
세혈관그물  또는  굴모세혈관으로  영양분이  풍부한  혈액을  전달하는  정맥계통인  간문맥계통;이 그 대표적인 예이다."
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
,,,,,,,,,,,,,,,nan
